id_6char,id_7char,municipio_sus,municipio,uf,populacao,clinicos,intensivistas,enfermeiros,anestesiologistas,ventiladores_existentes,ventiladores_em_uso,estab_c_vent_sus,quantidade_leitos,leitos_sus,leitos_nao_sus
150370,1503705, Itupiranga,Itupiranga,PA,53269,6,,10,1,1,1,1,53,53,
150375,1503754, Jacareacanga,Jacareacanga,PA,8239,3,,24,,,,,24,24,
150380,1503804, Jacundá,Jacundá,PA,59155,7,,16,,9,9,4,165,73,92
150390,1503903, Juruti,Juruti,PA,57943,9,,28,4,13,8,2,57,51,6
150400,1504000, Limoeiro do Ajuru,Limoeiro do Ajuru,PA,28935,1,,10,,,,,20,20,
150405,1504059, Mãe do Rio,Mãe do Rio,PA,30077,,,6,,1,1,1,52,52,
150410,1504109,,Magalhães Barata,PA,8548,2,,5,,,,,,,
150420,1504208, Marabá,Marabá,PA,279349,82,,155,2,73,64,5,312,225,87
150430,1504307, Maracanã,Maracanã,PA,29473,1,,7,,,,,27,27,
150440,1504406, Marapanim,Marapanim,PA,28336,3,,11,,,,,18,18,
150442,1504422, Marituba,Marituba,PA,131521,26,1,63,,20,20,3,164,120,44
150445,1504455, Medicilândia,Medicilândia,PA,31597,1,,3,,,,,41,41,
150450,1504505, Melgaço,Melgaço,PA,27654,2,,3,,1,1,1,15,15,
150460,1504604, Mocajuba,Mocajuba,PA,31136,5,,8,,,,,27,27,
150470,1504703, Moju,Moju,PA,82094,1,,14,,1,1,1,50,50,
150475,1504752,,Mojuí dos Campos,PA,16084,,,8,,,,,,,
150480,1504802, Monte Alegre,Monte Alegre,PA,58032,9,,15,,,,,85,58,27
150490,1504901, Muaná,Muaná,PA,40349,,,6,,,,,26,26,
150495,1504950, Nova Esperança do Piriá,Nova Esperança do Piriá,PA,21368,2,,4,,1,1,1,32,32,
150497,1504976, Nova Ipixuna,Nova Ipixuna,PA,16678,5,,3,,1,1,1,13,13,
150500,1505007,,Nova Timboteua,PA,15363,1,,1,,,,,,,
150503,1505031, Novo Progresso,Novo Progresso,PA,25762,4,,24,,3,3,1,42,34,8
150506,1505064, Novo Repartimento,Novo Repartimento,PA,75919,11,,21,,1,1,1,54,54,
150510,1505106, Óbidos,Óbidos,PA,52137,3,,21,,,,,65,63,2
150520,1505205, Oeiras do Pará,Oeiras do Pará,PA,32512,1,,5,,,,,15,15,
150530,1505304, Oriximiná,Oriximiná,PA,73096,23,,43,,4,4,1,89,74,15
150540,1505403, Ourém,Ourém,PA,17842,,,7,1,,,,24,24,
150543,1505437, Ourilândia do Norte,Ourilândia do Norte,PA,32832,10,,15,,1,1,1,67,65,2
150548,1505486, Pacajá,Pacajá,PA,47706,3,,11,,2,2,1,37,32,5
150549,1505494, Palestina do Pará,Palestina do Pará,PA,7589,,,2,,,,,20,20,
150550,1505502, Paragominas,Paragominas,PA,113145,20,,85,,34,32,3,176,117,59
150553,1505536, Parauapebas,Parauapebas,PA,208273,102,,157,4,46,38,2,305,100,205
150555,1505551, Pau D'Arco,Pau D'Arco,PA,5483,,,7,,,,,22,22,
