city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,place_type,state,last_update
Curitiba,4106902,34,1.75883,2020-03-23,,0.0,1933105.0,False,city,PR,2020-03-26 15:52:13.650364
,29,34,0.2286,2020-03-20,,0.0,14873064.0,False,state,BA,2020-03-26 15:52:13.650364
Salvador,2927408,33,1.14889,2020-03-22,,0.0,2872347.0,False,city,BA,2020-03-26 15:52:13.650364
,26,33,0.34529,2020-03-21,,0.0,9557071.0,False,state,PE,2020-03-26 15:52:13.650364
,32,33,0.82117,2020-03-23,,,4018650.0,False,state,ES,2020-03-26 15:52:13.650364
,13,32,0.77209,2020-03-23,,0.0,4144597.0,False,state,AM,2020-03-26 15:52:13.650364
Manaus,1302603,31,1.42022,2020-03-23,,,2182763.0,False,city,AM,2020-03-26 15:52:13.650364
Recife,2611606,31,1.88367,2020-03-25,0.0323,1.0,1645727.0,False,city,PE,2020-03-26 15:52:13.650364
Recife,2611606,31,1.88367,2020-03-26,0.0645,2.0,1645727.0,True,city,PE,2020-03-26 15:52:13.650364
,26,31,0.32437,2020-03-20,,0.0,9557071.0,False,state,PE,2020-03-26 15:52:13.650364
Curitiba,4106902,31,1.60364,2020-03-22,,0.0,1933105.0,False,city,PR,2020-03-26 15:52:13.650364
Curitiba,4106902,31,1.60364,2020-03-21,,0.0,1933105.0,False,city,PR,2020-03-26 15:52:13.650364
Recife,2611606,30,1.8229,2020-03-23,,,1645727.0,False,city,PE,2020-03-26 15:52:13.650364
Recife,2611606,30,1.8229,2020-03-24,,,1645727.0,False,city,PE,2020-03-26 15:52:13.650364
Belo Horizonte,3106200,30,1.19423,2020-03-21,,0.0,2512070.0,False,city,MG,2020-03-26 15:52:13.650364
,52,29,0.4132,2020-03-24,,0.0,7018354.0,False,state,GO,2020-03-26 15:52:13.650364
Recife,2611606,28,1.70138,2020-03-22,,,1645727.0,False,city,PE,2020-03-26 15:52:13.650364
Importados/Indefinidos,,28,,2020-03-23,,0.0,,False,city,MG,2020-03-26 15:52:13.650364
Curitiba,4106902,27,1.39672,2020-03-20,,0.0,1933105.0,False,city,PR,2020-03-26 15:52:13.650364
,13,26,0.62732,2020-03-22,,0.0,4144597.0,False,state,AM,2020-03-26 15:52:13.650364
Manaus,1302603,26,1.19115,2020-03-22,,,2182763.0,False,city,AM,2020-03-26 15:52:13.650364
,32,26,0.64698,2020-03-21,,,4018650.0,False,state,ES,2020-03-26 15:52:13.650364
,32,26,0.64698,2020-03-22,,,4018650.0,False,state,ES,2020-03-26 15:52:13.650364
Recife,2611606,25,1.51909,2020-03-21,,,1645727.0,False,city,PE,2020-03-26 15:52:13.650364
,50,24,0.86362,2020-03-24,,,2778986.0,False,state,MS,2020-03-26 15:52:13.650364
,50,24,0.86362,2020-03-25,,,2778986.0,True,state,MS,2020-03-26 15:52:13.650364
Rio Branco,1200401,23,5.64668,2020-03-25,,0.0,407319.0,True,city,AC,2020-03-26 15:52:13.650364
Salvador,2927408,23,0.80074,2020-03-21,,0.0,2872347.0,False,city,BA,2020-03-26 15:52:13.650364
,52,23,0.32771,2020-03-23,,0.0,7018354.0,False,state,GO,2020-03-26 15:52:13.650364
,12,23,2.6079,2020-03-25,,0.0,881935.0,True,state,AC,2020-03-26 15:52:13.650364
Campo Grande,5002704,22,2.45541,2020-03-25,,,895982.0,True,city,MS,2020-03-26 15:52:13.650364
Campo Grande,5002704,22,2.45541,2020-03-24,,,895982.0,False,city,MS,2020-03-26 15:52:13.650364
,50,21,0.75567,2020-03-23,,,2778986.0,False,state,MS,2020-03-26 15:52:13.650364
,52,21,0.29922,2020-03-22,,0.0,7018354.0,False,state,GO,2020-03-26 15:52:13.650364
,50,21,0.75567,2020-03-22,,,2778986.0,False,state,MS,2020-03-26 15:52:13.650364
Rio Branco,1200401,21,5.15566,2020-03-24,,0.0,407319.0,False,city,AC,2020-03-26 15:52:13.650364
,12,21,2.38113,2020-03-24,,0.0,881935.0,False,state,AC,2020-03-26 15:52:13.650364
Florianópolis,4205407,20,3.99223,2020-03-24,,,500973.0,False,city,SC,2020-03-26 15:52:13.650364
Belo Horizonte,3106200,20,0.79616,2020-03-20,,0.0,2512070.0,False,city,MG,2020-03-26 15:52:13.650364
Campo Grande,5002704,19,2.12058,2020-03-22,,,895982.0,False,city,MS,2020-03-26 15:52:13.650364
Niterói,3303302,19,3.69949,2020-03-25,0.0526,1.0,513584.0,True,city,RJ,2020-03-26 15:52:13.650364
Campo Grande,5002704,19,2.12058,2020-03-23,,,895982.0,False,city,MS,2020-03-26 15:52:13.650364
,52,19,0.27072,2020-03-21,,0.0,7018354.0,False,state,GO,2020-03-26 15:52:13.650364
Salvador,2927408,18,0.62667,2020-03-20,,0.0,2872347.0,False,city,BA,2020-03-26 15:52:13.650364
,52,18,0.25647,2020-03-20,,0.0,7018354.0,False,state,GO,2020-03-26 15:52:13.650364
,12,17,1.92758,2020-03-23,,0.0,881935.0,False,state,AC,2020-03-26 15:52:13.650364
Vila Velha,3205200,17,3.44242,2020-03-24,,,493838.0,False,city,ES,2020-03-26 15:52:13.650364
Santo André,3547809,17,2.36514,2020-03-25,,0.0,718773.0,True,city,SP,2020-03-26 15:52:13.650364
Vila Velha,3205200,17,3.44242,2020-03-25,,,493838.0,True,city,ES,2020-03-26 15:52:13.650364
Rio Branco,1200401,17,4.17363,2020-03-23,,0.0,407319.0,False,city,AC,2020-03-26 15:52:13.650364
,28,16,0.69605,2020-03-25,,0.0,2298696.0,True,state,SE,2020-03-26 15:52:13.650364
,32,16,0.39814,2020-03-20,,,4018650.0,False,state,ES,2020-03-26 15:52:13.650364
Florianópolis,4205407,16,3.19378,2020-03-25,,0.0,500973.0,True,city,SC,2020-03-26 15:52:13.650364
,50,16,0.57575,2020-03-21,,,2778986.0,False,state,MS,2020-03-26 15:52:13.650364
São Caetano do Sul,3548807,16,9.93006,2020-03-25,,0.0,161127.0,True,city,SP,2020-03-26 15:52:13.650364
Vitória,3205309,15,4.14254,2020-03-25,,,362097.0,True,city,ES,2020-03-26 15:52:13.650364
Goiânia,5208707,15,0.98937,2020-03-24,,0.0,1516113.0,False,city,GO,2020-03-26 15:52:13.650364
Vitória,3205309,15,4.14254,2020-03-24,,,362097.0,False,city,ES,2020-03-26 15:52:13.650364
Goiânia,5208707,15,0.98937,2020-03-25,,0.0,1516113.0,True,city,GO,2020-03-26 15:52:13.650364
Florianópolis,4205407,15,2.99417,2020-03-23,,,500973.0,False,city,SC,2020-03-26 15:52:13.650364
,28,15,0.65254,2020-03-24,,0.0,2298696.0,False,state,SE,2020-03-26 15:52:13.650364
Vitória,3205309,14,3.86637,2020-03-23,,,362097.0,False,city,ES,2020-03-26 15:52:13.650364
,24,14,0.39922,2020-03-25,,0.0,3506853.0,True,state,RN,2020-03-26 15:52:13.650364
Campo Grande,5002704,14,1.56253,2020-03-21,,,895982.0,False,city,MS,2020-03-26 15:52:13.650364
,24,14,0.39922,2020-03-24,,0.0,3506853.0,False,state,RN,2020-03-26 15:52:13.650364
Vila Velha,3205200,13,2.63244,2020-03-23,,,493838.0,False,city,ES,2020-03-26 15:52:13.650364
Aracaju,2800308,13,1.97865,2020-03-25,,0.0,657013.0,True,city,SE,2020-03-26 15:52:13.650364
,24,13,0.3707,2020-03-22,,0.0,3506853.0,False,state,RN,2020-03-26 15:52:13.650364
São Bernardo do Campo,3548708,13,1.54958,2020-03-25,,0.0,838936.0,True,city,SP,2020-03-26 15:52:13.650364
Niterói,3303302,12,2.33652,2020-03-24,0.0833,1.0,513584.0,False,city,RJ,2020-03-26 15:52:13.650364
Aracaju,2800308,12,1.82645,2020-03-24,,0.0,657013.0,False,city,SE,2020-03-26 15:52:13.650364
Itajaí,4208203,12,5.46607,2020-03-25,,0.0,219536.0,True,city,SC,2020-03-26 15:52:13.650364
,50,12,0.43181,2020-03-20,,,2778986.0,False,state,MS,2020-03-26 15:52:13.650364
Goiânia,5208707,12,0.7915,2020-03-23,,0.0,1516113.0,False,city,GO,2020-03-26 15:52:13.650364
Vila Velha,3205200,11,2.22745,2020-03-22,,,493838.0,False,city,ES,2020-03-26 15:52:13.650364
Vila Velha,3205200,11,2.22745,2020-03-21,,,493838.0,False,city,ES,2020-03-26 15:52:13.650364
Vitória,3205309,11,3.03786,2020-03-22,,,362097.0,False,city,ES,2020-03-26 15:52:13.650364
Goiânia,5208707,11,0.72554,2020-03-22,,0.0,1516113.0,False,city,GO,2020-03-26 15:52:13.650364
,13,11,0.26541,2020-03-21,,0.0,4144597.0,False,state,AM,2020-03-26 15:52:13.650364
,27,11,0.3296,2020-03-25,,,3337357.0,True,state,AL,2020-03-26 15:52:13.650364
Vitória,3205309,11,3.03786,2020-03-21,,,362097.0,False,city,ES,2020-03-26 15:52:13.650364
Manaus,1302603,11,0.50395,2020-03-21,,,2182763.0,False,city,AM,2020-03-26 15:52:13.650364
Criciúma,4204608,11,5.11186,2020-03-25,,0.0,215186.0,True,city,SC,2020-03-26 15:52:13.650364
Campo Grande,5002704,11,1.2277,2020-03-20,,,895982.0,False,city,MS,2020-03-26 15:52:13.650364
,12,11,1.24726,2020-03-21,,0.0,881935.0,False,state,AC,2020-03-26 15:52:13.650364
Rio Branco,1200401,11,2.70059,2020-03-21,,0.0,407319.0,False,city,AC,2020-03-26 15:52:13.650364
,12,11,1.24726,2020-03-22,,0.0,881935.0,False,state,AC,2020-03-26 15:52:13.650364
Rio Branco,1200401,11,2.70059,2020-03-22,,0.0,407319.0,False,city,AC,2020-03-26 15:52:13.650364
Maceió,2704302,10,0.9814,2020-03-25,,,1018948.0,True,city,AL,2020-03-26 15:52:13.650364
,27,10,0.29964,2020-03-24,,0.0,3337357.0,False,state,AL,2020-03-26 15:52:13.650364
Maceió,2704302,10,0.9814,2020-03-24,,,1018948.0,False,city,AL,2020-03-26 15:52:13.650364
Florianópolis,4205407,10,1.99612,2020-03-21,,,500973.0,False,city,SC,2020-03-26 15:52:13.650364
Itajaí,4208203,10,4.55506,2020-03-24,,,219536.0,False,city,SC,2020-03-26 15:52:13.650364
Niterói,3303302,10,1.9471,2020-03-21,0.1,1.0,513584.0,False,city,RJ,2020-03-26 15:52:13.650364
Niterói,3303302,10,1.9471,2020-03-23,0.1,1.0,513584.0,False,city,RJ,2020-03-26 15:52:13.650364
Florianópolis,4205407,10,1.99612,2020-03-22,,,500973.0,False,city,SC,2020-03-26 15:52:13.650364
Niterói,3303302,10,1.9471,2020-03-22,0.1,1.0,513584.0,False,city,RJ,2020-03-26 15:52:13.650364
,28,10,0.43503,2020-03-21,,0.0,2298696.0,False,state,SE,2020-03-26 15:52:13.650364
Blumenau,4202404,9,2.5196,2020-03-25,,0.0,357199.0,True,city,SC,2020-03-26 15:52:13.650364
,51,9,0.25829,2020-03-25,,,3484466.0,True,state,MT,2020-03-26 15:52:13.650364
Balneário Camboriú,4202008,9,6.32489,2020-03-24,,,142295.0,False,city,SC,2020-03-26 15:52:13.650364
Braço do Norte,4202800,9,26.90583,2020-03-24,,,33450.0,False,city,SC,2020-03-26 15:52:13.650364
