,region_id,municipio,uf,populacao,quantidade_leitos
2981,SAO JOAQUIM DE BICAS MG,São Joaquim de Bicas,MG,31578,0.0
2982,SAO JOSE DA BARRA MG,São José da Barra,MG,7426,0.0
2983,SAO JOSE DA LAPA MG,São José da Lapa,MG,23766,0.0
2984,SAO JOSE DA SAFIRA MG,São José da Safira,MG,4268,0.0
2985,SAO JOSE DA VARGINHA MG,São José da Varginha,MG,5004,0.0
2986,SAO JOSE DO ALEGRE MG,São José do Alegre,MG,4196,0.0
2987,SAO JOSE DO DIVINO MG,São José do Divino,MG,3860,0.0
2988,SAO JOSE DO GOIABAL MG,São José do Goiabal,MG,5420,0.0
2989,SAO JOSE DO JACURI MG,São José do Jacuri,MG,6453,0.0
2990,SAO JOSE DO MANTIMENTO MG,São José do Mantimento,MG,2791,0.0
2991,SAO LOURENCO MG,São Lourenço,MG,45851,88.0
2992,SAO MIGUEL DO ANTA MG,São Miguel do Anta,MG,6938,0.0
2993,SAO PEDRO DA UNIAO MG,São Pedro da União,MG,4659,8.0
2994,SAO PEDRO DOS FERROS MG,São Pedro dos Ferros,MG,7781,0.0
2995,SAO PEDRO DO SUACUI MG,São Pedro do Suaçuí,MG,5246,0.0
2996,SAO ROMAO MG,São Romão,MG,12337,18.0
2997,SAO ROQUE DE MINAS MG,São Roque de Minas,MG,7051,10.0
2998,SAO SEBASTIAO DA BELA VISTA MG,São Sebastião da Bela Vista,MG,5504,0.0
2999,SAO SEBASTIAO DA VARGEM ALEGRE MG,São Sebastião da Vargem Alegre,MG,3007,0.0
3000,SAO SEBASTIAO DO ANTA MG,São Sebastião do Anta,MG,6555,0.0
3001,SAO SEBASTIAO DO MARANHAO MG,São Sebastião do Maranhão,MG,10044,0.0
3002,SAO SEBASTIAO DO OESTE MG,São Sebastião do Oeste,MG,6775,0.0
3003,SAO SEBASTIAO DO PARAISO MG,São Sebastião do Paraíso,MG,70956,334.0
3004,SAO SEBASTIAO DO RIO PRETO MG,São Sebastião do Rio Preto,MG,1506,0.0
3005,SAO SEBASTIAO DO RIO VERDE MG,São Sebastião do Rio Verde,MG,2241,0.0
3006,SAO TIAGO MG,São Tiago,MG,10941,45.0
3007,SAO TOMAS DE AQUINO MG,São Tomás de Aquino,MG,7021,1.0
3008,SAO THOME DAS LETRAS MG,São Thomé das Letras,MG,7089,0.0
3009,SAO VICENTE DE MINAS MG,São Vicente de Minas,MG,7753,30.0
3010,SAPUCAI-MIRIM MG,Sapucaí-Mirim,MG,6930,0.0
3011,SARDOA MG,Sardoá,MG,6300,0.0
3012,SARZEDO MG,Sarzedo,MG,32752,0.0
3013,SETUBINHA MG,Setubinha,MG,12258,0.0
3014,SEM-PEIXE MG,Sem-Peixe,MG,2633,0.0
3015,SENADOR AMARAL MG,Senador Amaral,MG,5356,0.0
3016,SENADOR CORTES MG,Senador Cortes,MG,2005,0.0
3017,SENADOR FIRMINO MG,Senador Firmino,MG,7812,20.0
3018,SENADOR JOSE BENTO MG,Senador José Bento,MG,1502,0.0
3019,SENADOR MODESTINO GONCALVES MG,Senador Modestino Gonçalves,MG,4156,0.0
3020,SENHORA DE OLIVEIRA MG,Senhora de Oliveira,MG,5786,0.0
3021,SENHORA DO PORTO MG,Senhora do Porto,MG,3523,0.0
3022,SENHORA DOS REMEDIOS MG,Senhora dos Remédios,MG,10459,0.0
3023,SERICITA MG,Sericita,MG,7326,0.0
3024,SERITINGA MG,Seritinga,MG,1851,0.0
3025,SERRA AZUL DE MINAS MG,Serra Azul de Minas,MG,4293,0.0
3026,SERRA DA SAUDADE MG,Serra da Saudade,MG,781,0.0
3027,SERRA DOS AIMORES MG,Serra dos Aimorés,MG,8699,0.0
3028,SERRA DO SALITRE MG,Serra do Salitre,MG,11582,13.0
3029,SERRANIA MG,Serrania,MG,7669,14.0
3030,SERRANOPOLIS DE MINAS MG,Serranópolis de Minas,MG,4781,0.0
3031,SERRANOS MG,Serranos,MG,1963,0.0
3032,SERRO MG,Serro,MG,20966,56.0
3033,SETE LAGOAS MG,Sete Lagoas,MG,239639,344.0
3034,SILVEIRANIA MG,Silveirânia,MG,2261,0.0
3035,SILVIANOPOLIS MG,Silvianópolis,MG,6238,0.0
3036,SIMAO PEREIRA MG,Simão Pereira,MG,2615,0.0
3037,SIMONESIA MG,Simonésia,MG,19633,0.0
3038,SOBRALIA MG,Sobrália,MG,5553,0.0
3039,SOLEDADE DE MINAS MG,Soledade de Minas,MG,6151,0.0
3040,TABULEIRO MG,Tabuleiro,MG,3750,0.0
3041,TAIOBEIRAS MG,Taiobeiras,MG,34132,81.0
3042,TAPARUBA MG,Taparuba,MG,3110,0.0
3043,TAPIRA MG,Tapira,MG,4773,0.0
3044,TAPIRAI MG,Tapiraí,MG,1875,0.0
3045,TAQUARACU DE MINAS MG,Taquaraçu de Minas,MG,4077,0.0
3046,TARUMIRIM MG,Tarumirim,MG,14326,52.0
3047,TEIXEIRAS MG,Teixeiras,MG,11661,15.0
3048,TEOFILO OTONI MG,Teófilo Otoni,MG,140592,321.0
3049,TIMOTEO MG,Timóteo,MG,89842,69.0
3050,TIRADENTES MG,Tiradentes,MG,7981,0.0
3051,TIROS MG,Tiros,MG,6480,14.0
3052,TOCANTINS MG,Tocantins,MG,16659,0.0
3053,TOCOS DO MOJI MG,Tocos do Moji,MG,4101,0.0
3054,TOLEDO MG,Toledo,MG,6258,0.0
3055,TOMBOS MG,Tombos,MG,8022,50.0
3056,TRES CORACOES MG,Três Corações,MG,79482,142.0
3057,TRES MARIAS MG,Três Marias,MG,32356,32.0
3058,TRES PONTAS MG,Três Pontas,MG,56746,126.0
3059,TUMIRITINGA MG,Tumiritinga,MG,6732,0.0
3060,TUPACIGUARA MG,Tupaciguara,MG,25327,0.0
3061,TURMALINA MG,Turmalina,MG,19964,56.0
3062,TURVOLANDIA MG,Turvolândia,MG,5040,0.0
3063,UBA MG,Ubá,MG,115552,292.0
3064,UBAI MG,Ubaí,MG,12533,0.0
3065,UBAPORANGA MG,Ubaporanga,MG,12471,2.0
3066,UBERABA MG,Uberaba,MG,333783,900.0
3067,UBERLANDIA MG,Uberlândia,MG,691305,1305.0
3068,UMBURATIBA MG,Umburatiba,MG,2611,0.0
3069,UNAI MG,Unaí,MG,84378,113.0
3070,UNIAO DE MINAS MG,União de Minas,MG,4304,34.0
3071,URUANA DE MINAS MG,Uruana de Minas,MG,3264,0.0
3072,URUCANIA MG,Urucânia,MG,10358,0.0
3073,URUCUIA MG,Urucuia,MG,16865,30.0
3074,VARGEM ALEGRE MG,Vargem Alegre,MG,6480,0.0
3075,VARGEM BONITA MG,Vargem Bonita,MG,2153,0.0
3076,VARGEM GRANDE DO RIO PARDO MG,Vargem Grande do Rio Pardo,MG,5007,0.0
3077,VARGINHA MG,Varginha,MG,135558,304.0
3078,VARJAO DE MINAS MG,Varjão de Minas,MG,7036,0.0
3079,VARZEA DA PALMA MG,Várzea da Palma,MG,39493,59.0
3080,VARZELANDIA MG,Varzelândia,MG,19320,23.0
3081,VAZANTE MG,Vazante,MG,20590,40.0
3082,VERDELANDIA MG,Verdelândia,MG,9355,0.0
3083,VEREDINHA MG,Veredinha,MG,5720,0.0
3084,VERISSIMO MG,Veríssimo,MG,3999,0.0
3085,VERMELHO NOVO MG,Vermelho Novo,MG,4839,0.0
3086,VESPASIANO MG,Vespasiano,MG,127601,71.0
3087,VICOSA MG,Viçosa,MG,78846,230.0
3088,VIEIRAS MG,Vieiras,MG,3608,0.0
3089,MATHIAS LOBATO MG,Mathias Lobato,MG,3203,0.0
3090,VIRGEM DA LAPA MG,Virgem da Lapa,MG,13752,39.0
3091,VIRGINIA MG,Virgínia,MG,8674,27.0
3092,VIRGINOPOLIS MG,Virginópolis,MG,10510,49.0
3093,VIRGOLANDIA MG,Virgolândia,MG,5380,0.0
3094,VISCONDE DO RIO BRANCO MG,Visconde do Rio Branco,MG,42564,82.0
3095,VOLTA GRANDE MG,Volta Grande,MG,5252,0.0
3096,WENCESLAU BRAZ MG,Wenceslau Braz,MG,2552,0.0
3097,AFONSO CLAUDIO ES,Afonso Cláudio,ES,30586,58.0
3098,AGUIA BRANCA ES,Águia Branca,ES,9642,0.0
3099,AGUA DOCE DO NORTE ES,Água Doce do Norte,ES,11019,0.0
3100,ALEGRE ES,Alegre,ES,30084,50.0
3101,ALFREDO CHAVES ES,Alfredo Chaves,ES,14601,0.0
3102,ALTO RIO NOVO ES,Alto Rio Novo,ES,7836,0.0
3103,ANCHIETA ES,Anchieta,ES,29263,365.0
3104,APIACA ES,Apiacá,ES,7567,16.0
3105,ARACRUZ ES,Aracruz,ES,101220,123.0
3106,ATILIO VIVACQUA ES,Atílio Vivacqua,ES,11936,10.0
3107,BAIXO GUANDU ES,Baixo Guandu,ES,30998,51.0
3108,BARRA DE SAO FRANCISCO ES,Barra de São Francisco,ES,44650,86.0
3109,BOA ESPERANCA ES,Boa Esperança,ES,15037,38.0
3110,BOM JESUS DO NORTE ES,Bom Jesus do Norte,ES,9936,0.0
3111,BREJETUBA ES,Brejetuba,ES,12404,0.0
3112,CACHOEIRO DE ITAPEMIRIM ES,Cachoeiro de Itapemirim,ES,208972,520.0
3113,CARIACICA ES,Cariacica,ES,381285,333.0
3114,CASTELO ES,Castelo,ES,37534,55.0
3115,COLATINA ES,Colatina,ES,122499,484.0
3116,CONCEICAO DA BARRA ES,Conceição da Barra,ES,31063,16.0
3117,CONCEICAO DO CASTELO ES,Conceição do Castelo,ES,12723,20.0
3118,DIVINO DE SAO LOURENCO ES,Divino de São Lourenço,ES,4304,0.0
3119,DOMINGOS MARTINS ES,Domingos Martins,ES,33850,102.0
3120,DORES DO RIO PRETO ES,Dores do Rio Preto,ES,6749,0.0
3121,ECOPORANGA ES,Ecoporanga,ES,22923,56.0
3122,FUNDAO ES,Fundão,ES,21509,71.0
3123,GOVERNADOR LINDENBERG ES,Governador Lindenberg,ES,12709,0.0
3124,GUACUI ES,Guaçuí,ES,30867,91.0
3125,GUARAPARI ES,Guarapari,ES,124859,59.0
3126,IBATIBA ES,Ibatiba,ES,26082,50.0
3127,IBIRACU ES,Ibiraçu,ES,12479,0.0
3128,IBITIRAMA ES,Ibitirama,ES,8889,0.0
3129,ICONHA ES,Iconha,ES,13860,28.0
3130,IRUPI ES,Irupi,ES,13377,0.0
3131,ITAGUACU ES,Itaguaçu,ES,14066,51.0
3132,ITAPEMIRIM ES,Itapemirim,ES,34348,106.0
3133,ITARANA ES,Itarana,ES,10555,38.0
3134,IUNA ES,Iúna,ES,29161,66.0
3135,JAGUARE ES,Jaguaré,ES,30477,22.0
3136,JERONIMO MONTEIRO ES,Jerônimo Monteiro,ES,12192,26.0
3137,JOAO NEIVA ES,João Neiva,ES,16668,50.0
3138,LARANJA DA TERRA ES,Laranja da Terra,ES,10947,23.0
3139,LINHARES ES,Linhares,ES,173555,257.0
